year,Total Applied Cl KB175 (kg),Total Applied Cl KB150 (kg),Total Applied Cl KB300 (kg),Total Applied Cl KB100 (kg),Total Applied Cl KB100 - Normalised (kg),Total Applied Cl KB150 - Normalised (kg),Total Applied Cl KB300 - Normalised (kg),Total Applied Cl KB175 - Normalised (kg)
2011,13000,15000,3000,31000,3000,3000,4000,4000
2012,140000,169000,29000,338000,37000,33000,41000,41000
2013,120000,160000,25000,305000,33000,31000,36000,36000
2014,166000,226000,34000,426000,47000,44000,49000,49000
2015,133000,206000,27000,366000,40000,40000,39000,39000
2016,138000,205000,28000,371000,41000,40000,41000,41000
2017,149000,195000,30000,374000,41000,38000,44000,44000
2018,194000,284000,40000,518000,57000,55000,57000,57000
2019,161000,246000,33000,440000,48000,48000,48000,48000
2020,41000,62000,8000,111000,12000,12000,12000,12000
2021,45000,46000,9000,100000,11000,9000,13000,13000
2022,152000,178000,31000,361000,39000,35000,45000,45000
2023,113000,160000,23000,295000,32000,31000,33000,33000
