date,totalDischarge_KB100,totalDischarge_KB150,totalDischarge_KB300,totalDischarge_KB175,dailyDischarge_KB100,dailyDischarge_KB150,dailyDischarge_KB175,dailyDischarge_KB300,dailyStage_KB100,dailyStage_KB150,dailyStage_KB300,dailyStage_MB100,totalClkg_KB100,totalClkg_KB150,totalClkg_KB175,totalClkg_KB175_corrected,totalClkg_KB300,totalClkg_MB100,fluxClKB100,fluxClKB300,fluxClKB150,season,year,month,day,rain_mm,avg_PET,airtempr,daily_ave_water_temp,monthYear,waterYear,rownum,flowRatio
2018-01-01,1088.6206530184966,2113.4020868556463,511.50729243358506,-1536.2887262707354,0.012599776076602969,0.02446067230156998,-0.017781119517022402,0.005920223292055383,0.28554218454739405,0.22666109245148836,0.15229203753936818,0.249877675759423,193.89779904700006,674.0413698332161,-565.3062540257794,0,85.16268323956292,0,178.11328354773147,166.4935857207169,318.9366443922017,winter,2018,1,1,0,0.2949677419354838,-19.39626316,0.8541319444444444,Jan 2018,2018,1,false
2018-01-02,1150.8656797565911,2149.688088466901,497.61594166223426,-1496.4383503725437,0.013320204626812398,0.024880649172070612,-0.017319888314497035,0.005759443769238822,0.28909887092349895,0.22312814609367063,0.1513280489180128,0.3061292893934776,211.86517207799997,727.5063678394125,-600.8242849161604,0,85.18308915474842,0,184.0920063954028,171.18239594616517,338.4241517374041,winter,2018,1,2,0,0.2949677419354838,-13.01502083,0.8856944444444445,Jan 2018,2018,2,false
2018-01-03,1120.7707184830358,2185.9740900781558,422.0950106995868,-1487.2983822947065,0.012971883315775878,0.02530062604257125,-0.017214101646929474,0.004885358920134106,0.28738167626739813,0.24931914142029868,0.14416323945951454,0.28399531931321753,193.85235658100007,773.0356890596238,-651.3865456976397,0,72.20321321901638,0,172.96343791295638,171.0591487431838,353.6344243823975,winter,2018,1,3,0,0.2949677419354838,-12.72698958,0.8954166666666666,Jan 2018,2018,3,false
2018-01-04,1095.9725876370323,2222.2600916894094,590.6135554058206,-1716.9010594581978,0.012684867912465652,0.025720602913071867,-0.019871540040025438,0.006835805039419221,0.28594756334450877,0.2585975319008432,0.15941044605303273,0.3444629443767144,181.17123699300004,787.0805757108767,-708.2173537026453,0,102.30801498476858,0,165.30635805737953,173.22327611405908,354.18022339253787,winter,2018,1,4,0,0.2949677419354838,-9.046822917,0.8676041666666666,Jan 2018,2018,4,false
2018-01-05,778.3540041166625,2258.546093300665,579.2123097071516,-2059.404398891154,0.009008726899498408,0.02614057978357251,-0.02383569906124021,0.006703846177166106,0.2645189595651732,0.2775992583561922,0.15847883018388723,0.4183044727725287,122.636945666,769.3818014070627,-742.2009685104531,0,95.45611276939074,0,157.55934320037073,164.8033219764496,340.65357518680497,winter,2018,1,5,10.921999999999999,0.2949677419354838,-14.50971875,0.8405555555555556,Jan 2018,2018,5,false
2018-01-06,516.3136865745807,2294.8320949119197,643.6609155440609,-2422.1793238813993,0.0059758528538724626,0.026560556654073145,-0.028034482915293975,0.007449779115093298,0.24128611439601746,0.2652289103423753,0.16376530061973,0.36909537153306915,76.80297774900002,774.3040954384024,-798.9549133818499,0,101.45379569244761,0,148.75255052512725,157.61994124917896,337.4120909129614,winter,2018,1,6,0,0.2949677419354838,-17.39221875,0.8216666666666667,Jan 2018,2018,6,true
2018-01-07,367.13550897196376,2331.118096523174,565.5299595939302,-2529.51254714514,0.0042492535760643955,0.02698053352457377,-0.029276765591957642,0.006545485643448267,0.22394475043177892,0.3314905386569135,0.15731125292085762,0.2988216801280097,54.417604908000015,798.2510583478793,-831.3245580634916,0,87.4911046236121,0,148.22212392469945,154.70640085351744,342.4326976563127,winter,2018,1,7,0,0.2949677419354838,-16.49845833,0.8139930555555556,Jan 2018,2018,7,true
2018-01-08,452.44502577417074,2367.4040981344283,708.5050827853956,-2623.4641551456534,0.005236632242756606,0.027400510395074403,-0.030364168462333953,0.008200290310016154,0.23425583170781264,0.3488135580615666,0.16870754079040942,0.2610689361983135,71.030232298,785.3225049405567,-823.3668214574913,0,109.07454881493479,0,156.9919620101059,153.9502700335224,331.72304870106876,winter,2018,1,8,0,0.2949677419354838,-5.413791667,0.8140972222222222,Jan 2018,2018,8,true
2018-01-09,796.4606795934794,2403.6900997456833,814.4944714270264,-2421.7238915792295,0.009218294902702309,0.02782048726557504,-0.028029211708092933,0.009427019345220214,0.2651567027837041,0.2443376942497206,0.17663203083409543,0.22391221060652242,138.85950925999998,755.4764828650688,-734.5177622766255,0,117.90078867155675,0,174.34571827309176,144.75333204532367,314.29862066869606,winter,2018,1,9,1.016,0.2949677419354838,-2.262385417,0.8393402777777778,Jan 2018,2018,9,true
2018-01-10,1536.7954947309759,2439.9761013569378,778.0663516411682,-1681.2469582671301,0.01778698489271963,0.028240464136075668,-0.019458876831795487,0.009005397588439447,0.30742400685766536,0.17691172594737375,0.17397170999695227,0.17498727019201457,298.69584351299983,733.8437005203291,-544.826294537903,0,109.67843753057404,0.2970000000000001,194.36277926184846,140.9628334386011,300.75856075484444,winter,2018,1,10,0,0.2949677419354838,-4.227385417,0.8650347222222222,Jan 2018,2018,10,false
