monthYear,totalDischargeKB100,totalDischargeKB150,totalDischargeKB300,totalDischargeKB175,monthlyCl_kb100,monthlyCl_kb150,monthlyCl_kb175,monthlyCl_kb175_corrected,monthlyCl_kb300,monthlyCl_mb100,monthSaltappliedKB175,monthSaltappliedKB100,monthSaltappliedKB150,monthSaltappliedKB300,totalmonthPrecip,monthETP,dMfenKB100,dMfenKB150,dMfenKB300,dMfenKB175,dMfenKB175_corrected,water_storage_kb100,rownum,Month,Season,MfenKB100,MfenKB150,MfenKB300,MfenKB175,waterKB100,precip_input_kb100,discharge_kb100_mm,discharge_kb150_mm,discharge_kb300_mm,reteff_KB150,reteff_KB175
Jan 2018,465554.93110401515,172031.57376397026,69698.31145794157,223825.04588210338,37011.310996188004,27755.617466372252,6122.992683283627,15346.35113579668,3132.7008465321173,NA,32641.24009662676,82672.72929403606,47358.37466821125,6686.191249304424,114.554,9.143999999999993,45661.41829784806,19602.757201838995,3553.4904027723064,26518.24741334313,17294.88896083008,24926.91686098487,1,1,winter,0,0,0,0,800000,533029.6709210001,100.05292854624885,103.16908676551184,72.26035285050315,41.39237746053205,81.24154393289612
Feb 2018,435446.26263454155,157144.57650966875,99879.56709508384,178422.1190297889,41529.829035578,24939.887817107396,14676.354384194068,15310.682900814625,1913.586834276534,2668.217015675637,44488.47078104837,115426.51406408621,66848.65567102826,9112.963329537266,115.31599999999999,13.97,73896.68502850822,41908.767853920865,7199.376495260732,29812.116396854297,29177.787880233744,36125.44179445843,2,2,winter,45661.41829784806,19602.757201838995,3553.4904027723064,26518.24741334313,824926.9168609849,536575.322834,93.5822410854691,94.24120290208678,103.55104176664963,62.69201292567478,67.01088141144639
Mar 2018,376727.9004957845,125149.08866589735,110422.32489870928,141156.48693117787,45337.849997763,23903.271099616002,18436.37290563479,18444.765244950624,2998.2059925122103,2210.716287354934,39981.61466381076,97551.74743165786,54898.2131855222,8189.784496755658,74.67599999999999,31.876999999999995,52213.89743389486,30994.9420859062,5191.578504243448,21545.24175817597,21536.849418860136,-177580.4513822845,3,3,spring,119558.10332635627,61511.52505575986,10752.866898033039,56330.36381019743,861052.3586554433,347473.887474,80.96301250702828,75.05318299832263,114.48134098009731,56.45892696208956,53.88787306200913
Apr 2018,323610.25762370677,114483.07524197517,76777.85375124411,132349.32863048746,31189.461207455995,17802.113535261,11798.448904434468,12027.729952780877,1588.8987677605264,1153.405871401527,16331.775632761986,37328.78589644284,20314.092618405168,3345.380720772959,82.55,57.53099999999995,6139.324688986842,2511.979083144168,1756.4819530124328,4533.326728327518,4304.045679981109,-207194.68648020655,4,4,spring,171772.00076025113,92506.46714166607,15944.445402276488,77875.6055683734,683471.9072731588,384112.290575,69.54744074147489,68.65666612471367,79.60013215696169,12.365696712774858,27.75770883867362
May 2018,119923.16578752437,54745.87608188854,35192.96766252335,29984.32204311248,14722.649877333002,10835.846032765001,2454.6802248259824,3075.3292778911614,1432.1236197420176,1076.0893992324836,0,0,0,0,64.262,90.80499999999994,-14722.649877333002,-10835.846032765001,-1432.1236197420176,-2454.6802248259824,-3075.3292778911614,-243430.04075702408,5,5,spring,177911.32544923798,95018.44622481024,17700.92735528892,82408.93229670092,476277.2207929522,299016.644663,25.77282106995526,32.831659421401135,36.48662654739999,NA,NA
Jun 2018,66800.7398028532,29218.04126979341,23569.6348829556,14013.06365010418,6959.898309182,5245.760784179,780.708808631078,1875.8939972084415,933.4287163719216,659.4117037130293,0,0,0,0,128.778,102.61600000000003,-6959.898309182,-5245.760784179,-933.4287163719216,-780.708808631078,-1875.8939972084415,54933.30921014669,6,6,summer,163188.67557190498,84182.60019204524,16268.803735546902,79954.25207187494,232847.18003592815,599215.173297,14.356221360349352,17.522356907676844,24.436031484459136,NA,NA
Jul 2018,54981.56378543748,18578.01061752567,27802.959299431215,8600.593868480604,5497.598282810998,3097.6281026489996,988.9825111123342,1846.7027031497,1410.9876690496653,332.13130907052454,0,0,0,0,116.58599999999998,113.66500000000003,-5497.598282810998,-3097.6281026489996,-1410.9876690496653,-988.9825111123342,-1846.7027031497,-41389.89811893771,7,7,summer,156228.777262723,78936.83940786624,15335.37501917498,79173.54326324386,287780.4892460748,542484.7426889999,11.816149084148226,11.141422166839055,28.82496874371785,NA,NA
Aug 2018,452271.4746532297,112726.36907483339,55189.57130707524,284355.53427132097,32860.51629892799,9623.068048299,20261.27783268725,20446.20078843078,2976.1704179417384,512.3725388365762,0,0,0,0,226.82199999999997,97.282,-32860.51629892799,-9623.068048299,-2976.1704179417384,-20261.27783268725,-20446.20078843078,150489.35055677022,8,8,summer,150731.178979912,75839.21130521724,13924.387350125315,78184.56075213153,246390.5911271371,1055422.3861029998,97.19816613192764,67.60315154588396,57.21828567861034,NA,NA
Sep 2018,354872.590921859,100975.44977686997,57157.57084317554,196739.57030181348,28519.488620153003,12221.923415675003,14503.321312019563,15373.045209844879,1794.2438924584353,278.2363516057603,0,0,0,0,204.724,64.38899999999995,-28519.488620153003,-12221.923415675003,-1794.2438924584353,-14503.321312019563,-15373.045209844879,298118.3030556411,9,9,fall,117870.662680984,66216.14325691824,10948.216932183575,57923.282919444275,396879.9416839073,952598.480626,76.26606359496198,60.5560055708698,59.258626942459294,NA,NA
Oct 2018,521002.6489744665,154715.50707146572,78341.13611037722,287946.0057926236,38780.849527588995,18062.636196949996,18317.200602389887,18623.04095821472,2401.01272824912,633.4760980605698,1070.9361070663597,2171.9785035303407,1100.937610782314,219.36922759166941,135.382,36.82999999999999,-36608.87102405865,-16961.69858616768,-2181.64350065745,-17246.26449532353,-17552.10485114836,-62431.6682264664,10,10,fall,89351.17406083099,53994.21984124323,9153.97303972514,43419.96160742471,694998.2447395484,629944.156543,111.96925932377714,92.78446522221614,81.22087923838978,-1540.6593816079082,-1610.3915426445583
