WellID,Date,Cl_mgL,IDgroup,depth,WellDepth_ft
AA,2018-01-24,198.4938,A,5ft,5
AA,2018-02-22,174.7238,A,5ft,5
AA,2018-03-26,183.54860000000002,A,5ft,5
AA,2018-03-26,183.54860000000002,A,5ft,5
AA,2018-04-23,187.0613,A,5ft,5
AA,2018-05-16,201.7231,A,5ft,5
AA,2018-06-13,198.7491,A,5ft,5
AA,2018-07-11,195.3538,A,5ft,5
AA,2018-08-01,208.7808,A,5ft,5
AA,2018-09-06,194.9504,A,5ft,5
AA,2018-10-25,198.7812,A,5ft,5
AA,2018-11-14,212.11155,A,5ft,5
AA,2018-11-14,212.11155,A,5ft,5
AA,2018-12-06,205.8188,A,5ft,5
AA,2019-01-09,204.2319,A,5ft,5
AA,2019-02-06,200.943,A,5ft,5
AA,2019-04-18,193.6517,A,5ft,5
AA,2019-05-06,222.8629,A,5ft,5
AA,2019-06-10,222.6514,A,5ft,5
AA,2019-07-12,200.9392,A,5ft,5
AA,2019-08-12,192.5101,A,5ft,5
AA,2019-09-16,189.6064,A,5ft,5
AA,2019-10-21,203.712,A,5ft,5
AA,2019-11-21,197.2448,A,5ft,5
AA,2019-12-13,199.4508,A,5ft,5
AA,2020-01-13,201.2619,A,5ft,5
AA,2020-02-19,197.1814,A,5ft,5
AA,2020-03-17,187.7818,A,5ft,5
AB,2018-01-24,163.8188,A,10ft,10
AB,2018-02-22,163.54495,A,10ft,10
AB,2018-02-22,163.54495,A,10ft,10
AB,2018-03-26,166.4624,A,10ft,10
AB,2018-04-23,169.0162,A,10ft,10
AB,2018-05-16,182.5331,A,10ft,10
AB,2018-06-13,179.5243,A,10ft,10
AB,2018-07-11,176.2042,A,10ft,10
AB,2018-08-01,187.3888,A,10ft,10
AB,2018-09-06,175.2128,A,10ft,10
AB,2018-10-25,170.3359,A,10ft,10
AB,2018-11-14,181.6571,A,10ft,10
AB,2018-12-06,174.5741,A,10ft,10
AB,2019-01-09,174.7316,A,10ft,10
AB,2019-02-06,170.6297,A,10ft,10
AB,2019-04-18,184.244,A,10ft,10
AB,2019-05-06,197.2664,A,10ft,10
AB,2019-06-10,194.3979,A,10ft,10
AB,2019-07-12,177.5081,A,10ft,10
AB,2019-08-12,167.4053,A,10ft,10
AB,2019-09-16,165.6241,A,10ft,10
AB,2019-10-21,178.5494,A,10ft,10
AB,2019-11-21,172.178,A,10ft,10
AB,2019-12-13,179.1187,A,10ft,10
AB,2020-01-13,176.5477,A,10ft,10
AB,2020-02-19,179.3612,A,10ft,10
AB,2020-03-17,191.5887,A,10ft,10
AC,2018-01-24,127.5998,A,15ft,15
AC,2018-02-22,131.9106,A,15ft,15
AC,2018-03-26,127.2565,A,15ft,15
AC,2018-04-23,131.0014,A,15ft,15
AC,2018-05-16,143.1638,A,15ft,15
AC,2018-06-13,142.3012,A,15ft,15
AC,2018-07-11,137.1407,A,15ft,15
AC,2018-08-01,164.4935,A,15ft,15
AC,2018-09-06,156.8133,A,15ft,15
AC,2018-10-25,159.7441,A,15ft,15
AC,2018-11-14,154.9129,A,15ft,15
AC,2018-12-06,140.3406,A,15ft,15
AC,2019-01-09,136.4864,A,15ft,15
AC,2019-02-06,131.8434,A,15ft,15
AC,2019-04-18,184.244,A,15ft,15
AC,2019-05-06,151.96,A,15ft,15
AC,2019-06-10,177.3357,A,15ft,15
AC,2019-07-12,156.228,A,15ft,15
AC,2019-08-12,154.8303,A,15ft,15
AC,2019-09-16,173.4947,A,15ft,15
AC,2019-10-21,140.3475,A,15ft,15
AC,2019-11-21,141.8993,A,15ft,15
AC,2019-12-13,148.3029,A,15ft,15
AC,2020-01-13,155.7339,A,15ft,15
AC,2020-02-19,153.6155,A,15ft,15
AC,2020-03-17,156.6409,A,15ft,15
AS,2018-03-26,299.6557,A,0ft,0
AS,2018-04-23,196.608,A,0ft,0
AS,2018-05-16,235.6946,A,0ft,0
AS,2018-06-13,259.3537,A,0ft,0
AS,2018-07-11,200.87,A,0ft,0
AS,2018-08-01,81.527,A,0ft,0
AS,2018-09-06,91.7112,A,0ft,0
AS,2018-10-25,69.8935,A,0ft,0
AS,2018-11-14,40.0114,A,0ft,0
AS,2019-01-09,160.7158,A,0ft,0
AS,2019-04-18,67.5752,A,0ft,0
AS,2019-05-06,61.7383,A,0ft,0
AS,2019-06-10,172.8752,A,0ft,0
AS,2019-07-12,125.1546,A,0ft,0
AS,2019-08-12,100.0147,A,0ft,0
AS,2019-09-16,131.7913,A,0ft,0
AS,2019-10-21,90.0361,A,0ft,0
